,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
346,76.975,1.1362,0.6289,0.2461,0.1114,6.3192
347,77.285,1.1681,0.7061,0.2655,0.1248,6.2939
348,77.596,1.161,0.782,0.2505,0.0898,4.7015
349,77.907,1.5432,1.0899,0.2322,0.0936,6.2436
350,78.218,1.7401,1.2838,0.2416,0.1028,6.2188
351,78.53,1.756,1.2325,0.2641,0.0929,6.1941
352,78.842,1.7996,1.2936,0.2653,0.0866,6.1696
353,79.154,1.7648,1.4044,0.2413,0.1042,6.1452
354,79.467,1.7755,1.4044,0.2437,0.0881,6.121
355,79.781,1.9118,1.4044,0.2466,0.1041,6.097
356,80.094,1.9809,1.6618,0.252,0.0963,6.0731
357,80.408,1.9685,1.4422,0.2431,0.0991,6.0494
358,80.722,1.8537,1.4141,0.2416,0.0957,6.0259
359,81.036,1.9508,1.4679,0.2318,0.0912,6.0025
360,81.352,1.9685,1.4805,0.2291,0.0986,5.9792
361,81.667,1.9685,1.6064,0.2953,0.1066,5.9561
362,81.982,2.0092,1.6276,0.2722,0.1046,5.9333
363,82.297,2.0059,1.6422,0.2468,0.1148,5.9106
364,82.613,1.9596,1.6031,0.2433,0.0946,5.8879
365,82.929,1.9437,1.5115,0.3095,0.1051,5.8655
366,83.246,1.7702,1.4875,0.2736,0.1016,5.8432
367,83.563,2.0128,1.4549,0.2505,0.1094,7.2763
368,83.881,1.9338,1.4044,0.2361,0.1226,7.2487
369,84.198,1.9047,1.4207,0.2404,0.1085,7.2214
370,84.516,1.7535,1.393,0.2517,0.1122,5.7554
371,84.834,1.7631,1.463,0.2583,0.113,5.7338
372,85.152,1.7719,1.476,0.239,0.1133,7.1405
373,85.472,1.779,1.3213,0.2575,0.1138,5.691
374,85.791,1.7843,1.4294,0.2513,0.1093,5.6698
375,86.11,1.7737,1.349,0.2665,0.1044,5.6488
376,86.43,1.8498,1.3255,0.2567,0.1093,8.4419
377,86.75,1.7826,1.2219,0.287,0.103,5.6072
378,87.07,1.7666,1.3383,0.2803,0.098,5.5865
379,87.391,1.841,1.2186,0.2657,0.0927,6.9575
380,87.712,1.756,1.2659,0.2318,0.1076,5.5457
381,88.034,1.8286,1.1877,0.2378,0.1102,6.9067
382,88.356,1.6534,1.1861,0.2322,0.0987,5.5052
383,88.678,1.6975,1.1926,0.2735,0.1077,8.2279
384,89.0,1.5893,1.1861,0.2642,0.1045,5.4654
385,89.322,1.5789,1.2708,0.2704,0.1001,5.4457
386,89.646,1.7932,1.2089,0.2326,0.1094,8.139
387,89.969,1.7507,1.1686,0.2225,0.1008,5.4065
388,90.292,1.7489,1.2186,0.2323,0.1054,5.3872
389,90.616,1.8116,1.2138,0.2466,0.1069,8.0519
390,90.94,1.7613,1.1975,0.2561,0.1117,5.3488
391,91.265,1.7542,1.2936,0.2465,0.1071,6.6622
392,91.59,1.7702,1.1851,0.2742,0.111,6.6386
393,91.915,1.7524,1.2496,0.2409,0.1193,5.2921
394,92.24,1.7715,1.2007,0.2594,0.1076,7.9101
395,92.566,1.7631,1.1942,0.2423,0.1097,5.2549
396,92.893,1.7967,1.1909,0.2421,0.1043,7.8545
397,93.219,1.7215,1.2023,0.233,0.1107,5.218
398,93.546,1.7737,1.2659,0.2626,0.1123,7.7997
399,93.873,1.756,1.2047,0.2241,0.1158,5.1817
400,94.2,1.8236,1.2496,0.2287,0.1023,7.7456
401,94.528,1.7595,1.2952,0.2343,0.1059,5.1458
402,94.856,1.8498,1.1991,0.2445,0.1037,7.692
403,95.184,1.7375,1.1714,0.2703,0.1076,5.1103
404,95.513,1.8498,1.1759,0.2664,0.1129,7.6391
405,95.843,1.7861,1.35,0.2236,0.1057,7.6128
406,96.173,1.7489,1.2317,0.261,0.1227,5.0578
407,96.503,1.8256,1.1861,0.2408,0.1069,6.3006
408,96.833,1.7843,1.2724,0.2621,0.1126,7.5349
409,97.164,1.7896,1.1991,0.259,0.1024,5.0062
410,97.497,1.8534,1.1812,0.2917,0.1087,6.2364
411,97.828,1.6574,1.2952,0.2396,0.1075,7.4583
412,98.159,1.6444,1.1851,0.2975,0.1086,6.1943
413,98.492,1.7099,1.1783,0.2424,0.1059,4.9387
